title,genre,description
The Shawshank Redemption,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption."
The Godfather,Crime,The aging patriarch of an organized crime dynasty transfers control to his son.
The Dark Knight,Action,"When the menace known as Joker emerges, Batman must accept one of the greatest tests."
Pulp Fiction,Crime,"The lives of two mob hitmen, a boxer, and others intertwine in four tales of violence."
Forrest Gump,Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, and more through the eyes of Forrest."
Inception,Sci-Fi,A thief who steals corporate secrets through dream-sharing is tasked with planting an idea.
The Matrix,Sci-Fi,A computer hacker learns the nature of his reality and his role in the war against its controllers.
Fight Club,Drama,An insomniac office worker and a soapmaker form an underground fight club.
Interstellar,Sci-Fi,A team of explorers travel through a wormhole in space to ensure humanity's survival.
The Lord of the Rings: The Fellowship of the Ring,Fantasy,A meek Hobbit sets out on a journey to destroy a powerful ring.
